PC1,PC2,PC3,domain,difficulty_level
-0.7207011623391949,-1.340084162358141,-0.3318108724276949,AI & ML,14
-1.3022025287141148,-0.16500440377171466,0.9300489540943834,AI & ML,28
-0.10462602818737009,-0.8589084690527206,1.4839064706787788,AI & ML,11
-0.8436570826395526,-0.7800916658256276,1.8161480181819734,AI & ML,21
-0.7725700435016736,-1.1185076765650126,0.07959436284303954,AI & ML,32
-0.5894449275558855,-0.5089170815589658,1.1424821729882748,AI & ML,44
-1.8954761086978342,0.07360397062238161,0.7597004168304191,AI & ML,44
-1.482804975561322,-0.5071029512637268,-1.3322779966931693,AI & ML,44
-1.146628611123261,-0.9918781355257135,0.22799430667196793,AI & ML,50
-0.9989511642882991,-0.8330460363094633,1.1675291044782241,AI & ML,36
-1.224851933828286,-0.30131672663869136,1.9409946084657848,AI & ML,44
-1.0219903172631388,-0.08329248359972728,0.9550445119297385,AI & ML,52
-0.9793898954355427,-1.3642331357095854,-0.27925689812498644,AI & ML,30
-0.9336029727764248,-0.9587846921048508,0.008812272029440505,AI & ML,54
-1.2998400797366356,0.33970457410977994,2.2363359140317542,AI & ML,72
-0.9819692325878511,-0.31646845013426095,1.5081445526318562,AI & ML,74
-1.0485165481622494,-0.8860230410700772,0.8544937178711434,AI & ML,44
-0.9489491926485389,-0.7800266393778807,1.4803807890917278,AI & ML,39
-2.3140930214923108,0.0021201864443667305,0.22702872415822625,AI & ML,74
-1.0696229586017818,-1.1282239519003623,1.239085101619818,AI & ML,61
-0.984076552337399,-0.5689128618619106,0.8553907435586371,AI & ML,33
-1.4014690367551212,-0.6580356076515067,1.5290089381762146,AI & ML,16
-2.2910060237668732,0.24929292192326308,1.118239944350514,AI & ML,24
-0.8217708432050251,-0.9324862719405369,-1.207040824202258,AI & ML,31
-2.7337448454124487,1.3523382792500913,-1.3709519005985382,AI & ML,54
-1.871143312472346,0.6283892275243912,0.2214998129537418,AI & ML,13
0.22922593641929706,-2.033363650747935,-0.3952314700195374,AI & ML,19
-0.8117807416435012,-1.7365521667786963,-0.7866639712801268,AI & ML,47
-0.9950389105177477,-0.9392834561894875,0.8781719039575824,AI & ML,14
-2.6108880949539888,0.9170097452850466,-0.32743514578402755,AI & ML,40
-0.7229276364651174,-1.205126925573336,0.9945755128228996,AI & ML,19
-1.0854626564171874,-1.257626614344423,-0.3269846037394265,AI & ML,15
-0.9261107067755,-1.4175128199976175,-0.255495211132376,AI & ML,44
-0.8784335473553467,-0.8437209743071405,0.4675389425931557,AI & ML,47
-2.7005101972448697,0.2909808309090381,-1.3667111209136198,AI & ML,38
